inventory_id,date,product_id,warehouse_id,stock_on_hand,stock_allocated,stock_on_order
INV0000001,2026-05-23,PROD0001,WH01,69,1,0
INV0000002,2026-05-23,PROD0001,WH02,67,9,0
INV0000003,2026-05-23,PROD0001,WH03,37,2,200
INV0000004,2026-05-23,PROD0001,WH04,124,5,0
INV0000005,2026-05-23,PROD0001,WH05,71,6,0
INV0000006,2026-05-23,PROD0002,WH01,118,7,0
INV0000007,2026-05-23,PROD0002,WH02,170,11,0
INV0000008,2026-05-23,PROD0002,WH03,89,7,0
INV0000009,2026-05-23,PROD0002,WH04,169,23,0
INV0000010,2026-05-23,PROD0002,WH05,325,27,0
INV0000011,2026-05-23,PROD0003,WH01,200,20,0
INV0000012,2026-05-23,PROD0003,WH02,92,7,0
INV0000013,2026-05-23,PROD0003,WH03,188,18,0
INV0000014,2026-05-23,PROD0003,WH04,207,23,0
INV0000015,2026-05-23,PROD0003,WH05,93,12,0
INV0000016,2026-05-23,PROD0004,WH01,203,27,0
INV0000017,2026-05-23,PROD0004,WH02,258,1,0
INV0000018,2026-05-23,PROD0004,WH03,267,2,0
INV0000019,2026-05-23,PROD0004,WH04,139,8,0
INV0000020,2026-05-23,PROD0004,WH05,260,11,0
INV0000021,2026-05-23,PROD0005,WH01,89,11,0
INV0000022,2026-05-23,PROD0005,WH02,197,5,0
INV0000023,2026-05-23,PROD0005,WH03,122,9,0
INV0000024,2026-05-23,PROD0005,WH04,110,14,0
INV0000025,2026-05-23,PROD0005,WH05,322,18,0
INV0000026,2026-05-23,PROD0006,WH01,44,3,0
INV0000027,2026-05-23,PROD0006,WH02,253,8,0
INV0000028,2026-05-23,PROD0006,WH03,233,7,0
INV0000029,2026-05-23,PROD0006,WH04,257,22,0
INV0000030,2026-05-23,PROD0006,WH05,313,3,0
INV0000031,2026-05-23,PROD0007,WH01,227,20,0
INV0000032,2026-05-23,PROD0007,WH02,73,4,0
INV0000033,2026-05-23,PROD0007,WH03,183,5,0
INV0000034,2026-05-23,PROD0007,WH04,38,0,0
INV0000035,2026-05-23,PROD0007,WH05,448,57,0
INV0000036,2026-05-23,PROD0008,WH01,84,7,0
INV0000037,2026-05-23,PROD0008,WH02,210,15,0
INV0000038,2026-05-23,PROD0008,WH03,271,18,0
INV0000039,2026-05-23,PROD0008,WH04,130,6,0
INV0000040,2026-05-23,PROD0008,WH05,218,30,0
INV0000041,2026-05-23,PROD0009,WH01,252,13,0
INV0000042,2026-05-23,PROD0009,WH02,178,8,0
INV0000043,2026-05-23,PROD0009,WH03,223,20,0
INV0000044,2026-05-23,PROD0009,WH04,276,4,0
INV0000045,2026-05-23,PROD0009,WH05,189,22,0
INV0000046,2026-05-23,PROD0010,WH01,148,15,0
INV0000047,2026-05-23,PROD0010,WH02,207,2,0
INV0000048,2026-05-23,PROD0010,WH03,84,5,0
INV0000049,2026-05-23,PROD0010,WH04,115,9,0
INV0000050,2026-05-23,PROD0010,WH05,352,10,0
INV0000051,2026-05-23,PROD0011,WH01,134,5,0
INV0000052,2026-05-23,PROD0011,WH02,152,8,0
INV0000053,2026-05-23,PROD0011,WH03,273,35,0
INV0000054,2026-05-23,PROD0011,WH04,99,9,0
INV0000055,2026-05-23,PROD0011,WH05,432,9,0
INV0000056,2026-05-23,PROD0012,WH01,298,9,0
INV0000057,2026-05-23,PROD0012,WH02,225,32,0
INV0000058,2026-05-23,PROD0012,WH03,96,11,0
INV0000059,2026-05-23,PROD0012,WH04,292,10,0
INV0000060,2026-05-23,PROD0012,WH05,448,3,0
INV0000061,2026-05-23,PROD0013,WH01,256,2,0
INV0000062,2026-05-23,PROD0013,WH02,162,15,0
INV0000063,2026-05-23,PROD0013,WH03,82,8,0
INV0000064,2026-05-23,PROD0013,WH04,237,9,0
INV0000065,2026-05-23,PROD0013,WH05,115,0,0
INV0000066,2026-05-23,PROD0014,WH01,226,20,0
INV0000067,2026-05-23,PROD0014,WH02,169,18,0
INV0000068,2026-05-23,PROD0014,WH03,229,28,0
INV0000069,2026-05-23,PROD0014,WH04,281,4,0
INV0000070,2026-05-23,PROD0014,WH05,298,27,0
INV0000071,2026-05-23,PROD0015,WH01,277,41,0
INV0000072,2026-05-23,PROD0015,WH02,144,4,0
INV0000073,2026-05-23,PROD0015,WH03,24,1,0
INV0000074,2026-05-23,PROD0015,WH04,137,7,0
INV0000075,2026-05-23,PROD0015,WH05,308,2,0
INV0000076,2026-05-23,PROD0016,WH01,235,16,0
INV0000077,2026-05-23,PROD0016,WH02,200,4,0
INV0000078,2026-05-23,PROD0016,WH03,141,11,0
INV0000079,2026-05-23,PROD0016,WH04,142,9,0
INV0000080,2026-05-23,PROD0016,WH05,178,18,0
INV0000081,2026-05-23,PROD0017,WH01,82,1,0
INV0000082,2026-05-23,PROD0017,WH02,220,16,0
INV0000083,2026-05-23,PROD0017,WH03,280,30,0
INV0000084,2026-05-23,PROD0017,WH04,66,4,0
INV0000085,2026-05-23,PROD0017,WH05,31,5,0
INV0000086,2026-05-23,PROD0018,WH01,247,22,0
INV0000087,2026-05-23,PROD0018,WH02,73,1,0
