sale_id,sale_date,product_id,warehouse_id,quantity_sold,selling_price_per_unit,channel,revenue
TXN000001,2025-07-21,PROD0073,WH04,2,314.02,Online,628.04
TXN000002,2025-07-21,PROD0046,WH04,1,328.39,Wholesale,328.39
TXN000003,2025-07-21,PROD0059,WH03,2,529.33,Online,1058.66
TXN000004,2025-07-21,PROD0009,WH03,2,577.1,Retail,1154.2
TXN000005,2025-07-21,PROD0023,WH05,1,718.07,Retail,718.07
TXN000006,2025-07-21,PROD0100,WH02,1,433.5,Retail,433.5
TXN000007,2025-07-21,PROD0001,WH05,1,400.23,Online,400.23
TXN000008,2025-07-21,PROD0023,WH04,1,718.07,Online,718.07
TXN000009,2025-07-21,PROD0011,WH05,1,515.6,Online,515.6
TXN000010,2025-07-21,PROD0115,WH05,2,607.39,Retail,1214.78
TXN000011,2025-07-21,PROD0111,WH03,6,267.82,Retail,1606.92
TXN000012,2025-07-21,PROD0090,WH05,1,890.04,Online,890.04
TXN000013,2025-07-21,PROD0028,WH04,1,179.6,Online,179.6
TXN000014,2025-07-21,PROD0047,WH05,1,539.17,Retail,539.17
TXN000015,2025-07-21,PROD0057,WH05,2,229.78,Retail,459.56
TXN000016,2025-07-21,PROD0023,WH03,1,718.07,Wholesale,718.07
TXN000017,2025-07-21,PROD0027,WH01,3,262.97,Online,788.91
TXN000018,2025-07-21,PROD0079,WH01,2,698.45,Online,1396.9
TXN000019,2025-07-21,PROD0010,WH05,2,198.25,Retail,396.5
TXN000020,2025-07-21,PROD0016,WH04,4,113.06,Retail,452.24
TXN000021,2025-07-21,PROD0083,WH04,2,183.43,Retail,366.86
TXN000022,2025-07-21,PROD0083,WH01,3,183.43,Retail,550.29
TXN000023,2025-07-21,PROD0007,WH03,4,385.91,Online,1543.64
TXN000024,2025-07-21,PROD0066,WH02,1,512.81,Online,512.81
TXN000025,2025-07-21,PROD0019,WH04,2,254.68,Online,509.36
TXN000026,2025-07-21,PROD0002,WH05,2,766.66,Online,1533.32
TXN000027,2025-07-21,PROD0008,WH02,7,40.03,Retail,280.21
TXN000028,2025-07-21,PROD0046,WH04,1,328.39,Online,328.39
TXN000029,2025-07-21,PROD0115,WH03,2,607.39,Online,1214.78
TXN000030,2025-07-21,PROD0028,WH04,5,179.6,Retail,898.0
TXN000031,2025-07-21,PROD0094,WH05,13,54.93,Online,714.09
TXN000032,2025-07-21,PROD0114,WH05,1,87.96,Retail,87.96
TXN000033,2025-07-21,PROD0091,WH04,1,922.1,Retail,922.1
TXN000034,2025-07-21,PROD0113,WH05,2,290.11,Wholesale,580.22
TXN000035,2025-07-21,PROD0090,WH02,2,890.04,Retail,1780.08
TXN000036,2025-07-21,PROD0039,WH05,2,360.51,Retail,721.02
TXN000037,2025-07-21,PROD0127,WH01,1,815.22,Online,815.22
TXN000038,2025-07-21,PROD0047,WH01,1,539.17,Retail,539.17
TXN000039,2025-07-21,PROD0066,WH03,1,512.81,Online,512.81
TXN000040,2025-07-21,PROD0076,WH01,1,105.69,Online,105.69
TXN000041,2025-07-21,PROD0111,WH02,2,267.82,Online,535.64
TXN000042,2025-07-21,PROD0122,WH02,4,792.76,Retail,3171.04
TXN000043,2025-07-21,PROD0100,WH02,1,433.5,Online,433.5
TXN000044,2025-07-21,PROD0042,WH04,5,61.35,Online,306.75
TXN000045,2025-07-21,PROD0059,WH02,2,529.33,Online,1058.66
TXN000046,2025-07-21,PROD0123,WH01,1,458.85,Retail,458.85
TXN000047,2025-07-21,PROD0090,WH05,1,890.04,Retail,890.04
TXN000048,2025-07-21,PROD0089,WH05,1,310.46,Online,310.46
TXN000049,2025-07-21,PROD0115,WH03,1,607.39,Wholesale,607.39
TXN000050,2025-07-21,PROD0105,WH02,1,568.46,Retail,568.46
TXN000051,2025-07-21,PROD0101,WH05,3,335.07,Wholesale,1005.21
TXN000052,2025-07-21,PROD0046,WH02,1,328.39,Online,328.39
TXN000053,2025-07-21,PROD0008,WH03,5,40.03,Online,200.15
TXN000054,2025-07-21,PROD0041,WH02,4,313.32,Online,1253.28
TXN000055,2025-07-21,PROD0011,WH03,1,515.6,Online,515.6
TXN000056,2025-07-21,PROD0026,WH04,1,482.99,Online,482.99
TXN000057,2025-07-21,PROD0127,WH01,1,815.22,Online,815.22
TXN000058,2025-07-21,PROD0063,WH01,1,560.04,Online,560.04
TXN000059,2025-07-21,PROD0061,WH03,14,35.05,Online,490.7
TXN000060,2025-07-21,PROD0004,WH05,2,299.93,Retail,599.86
TXN000061,2025-07-21,PROD0107,WH04,1,546.29,Online,546.29
TXN000062,2025-07-21,PROD0061,WH02,9,35.05,Retail,315.45
TXN000063,2025-07-21,PROD0092,WH05,2,84.39,Online,168.78
TXN000064,2025-07-21,PROD0029,WH05,1,216.16,Online,216.16
TXN000065,2025-07-21,PROD0028,WH02,1,179.6,Retail,179.6
TXN000066,2025-07-21,PROD0097,WH04,2,172.41,Online,344.82
TXN000067,2025-07-21,PROD0089,WH01,4,310.46,Online,1241.84
TXN000068,2025-07-21,PROD0007,WH02,5,385.91,Online,1929.55
TXN000069,2025-07-21,PROD0099,WH05,3,345.24,Online,1035.72
TXN000070,2025-07-21,PROD0094,WH01,15,54.93,Online,823.95
TXN000071,2025-07-21,PROD0036,WH02,1,222.07,Online,222.07
TXN000072,2025-07-21,PROD0120,WH03,2,807.25,Retail,1614.5
TXN000073,2025-07-21,PROD0045,WH05,1,443.22,Wholesale,443.22
TXN000074,2025-07-21,PROD0045,WH01,2,443.22,Wholesale,886.44
TXN000075,2025-07-21,PROD0102,WH05,3,196.25,Online,588.75
TXN000076,2025-07-21,PROD0076,WH02,1,105.69,Online,105.69
TXN000077,2025-07-21,PROD0121,WH02,1,583.3,Retail,583.3
TXN000078,2025-07-21,PROD0030,WH04,2,307.89,Wholesale,615.78
TXN000079,2025-07-21,PROD0066,WH05,1,512.81,Online,512.81
TXN000080,2025-07-21,PROD0059,WH04,1,529.33,Online,529.33
TXN000081,2025-07-21,PROD0124,WH05,2,391.84,Online,783.68
TXN000082,2025-07-21,PROD0098,WH02,1,352.46,Online,352.46
TXN000083,2025-07-21,PROD0111,WH05,2,267.82,Retail,535.64
TXN000084,2025-07-21,PROD0081,WH02,1,41.47,Online,41.47
TXN000085,2025-07-21,PROD0078,WH02,1,368.28,Retail,368.28
TXN000086,2025-07-21,PROD0091,WH04,1,922.1,Online,922.1
TXN000087,2025-07-21,PROD0103,WH04,3,731.07,Online,2193.21
TXN000088,2025-07-21,PROD0126,WH05,1,543.44,Retail,543.44
TXN000089,2025-07-21,PROD0066,WH05,3,512.81,Retail,1538.43
TXN000090,2025-07-21,PROD0019,WH02,2,254.68,Online,509.36
TXN000091,2025-07-21,PROD0039,WH03,1,360.51,Online,360.51
TXN000092,2025-07-21,PROD0049,WH04,1,416.0,Retail,416.0
TXN000093,2025-07-21,PROD0123,WH03,1,458.85,Online,458.85
TXN000094,2025-07-21,PROD0090,WH04,1,890.04,Online,890.04
TXN000095,2025-07-21,PROD0058,WH01,4,407.28,Retail,1629.12
TXN000096,2025-07-21,PROD0127,WH01,2,815.22,Online,1630.44
TXN000097,2025-07-21,PROD0075,WH05,1,736.06,Retail,736.06
TXN000098,2025-07-21,PROD0045,WH04,1,443.22,Online,443.22
TXN000099,2025-07-21,PROD0020,WH04,1,363.62,Retail,363.62
TXN000100,2025-07-21,PROD0037,WH05,1,720.85,Online,720.85
TXN000101,2025-07-21,PROD0041,WH01,1,313.32,Online,313.32
TXN000102,2025-07-21,PROD0115,WH05,1,607.39,Wholesale,607.39
