sale_id,sale_date,product_id,warehouse_id,quantity_sold,selling_price_per_unit,channel
TXN000001,2025-07-21,PROD0073,WH04,2,314.02,Online
TXN000002,2025-07-21,PROD0046,WH04,1,328.39,Wholesale
TXN000003,2025-07-21,PROD0059,WH03,2,529.33,Online
TXN000004,2025-07-21,PROD0009,WH03,2,577.1,Retail
TXN000005,2025-07-21,PROD0023,WH05,1,718.07,Retail
TXN000006,2025-07-21,PROD0100,WH02,1,433.5,Retail
TXN000007,2025-07-21,PROD0001,WH05,1,400.23,Online
TXN000008,2025-07-21,PROD0023,WH04,1,718.07,Online
TXN000009,2025-07-21,PROD0011,WH05,1,515.6,Online
TXN000010,2025-07-21,PROD0115,WH05,2,607.39,Retail
TXN000011,2025-07-21,PROD0111,WH03,6,267.82,Retail
TXN000012,2025-07-21,PROD0090,WH05,1,890.04,Online
TXN000013,2025-07-21,PROD0028,WH04,1,179.6,Online
TXN000014,2025-07-21,PROD0047,WH05,1,539.17,Retail
TXN000015,2025-07-21,PROD0057,WH05,2,229.78,Retail
TXN000016,2025-07-21,PROD0023,WH03,1,718.07,Wholesale
TXN000017,2025-07-21,PROD0027,WH01,3,262.97,Online
TXN000018,2025-07-21,PROD0079,WH01,2,698.45,Online
TXN000019,2025-07-21,PROD0010,WH05,2,198.25,Retail
TXN000020,2025-07-21,PROD0016,WH04,4,113.06,Retail
TXN000021,2025-07-21,PROD0083,WH04,2,183.43,Retail
TXN000022,2025-07-21,PROD0083,WH01,3,183.43,Retail
TXN000023,2025-07-21,PROD0007,WH03,4,385.91,Online
TXN000024,2025-07-21,PROD0066,WH02,1,512.81,Online
TXN000025,2025-07-21,PROD0019,WH04,2,254.68,Online
TXN000026,2025-07-21,PROD0002,WH05,2,766.66,Online
TXN000027,2025-07-21,PROD0008,WH02,7,40.03,Retail
TXN000028,2025-07-21,PROD0046,WH04,1,328.39,Online
TXN000029,2025-07-21,PROD0115,WH03,2,607.39,Online
TXN000030,2025-07-21,PROD0028,WH04,5,179.6,Retail
TXN000031,2025-07-21,PROD0094,WH05,13,54.93,Online
TXN000032,2025-07-21,PROD0114,WH05,1,87.96,Retail
TXN000033,2025-07-21,PROD0091,WH04,1,922.1,Retail
TXN000034,2025-07-21,PROD0113,WH05,2,290.11,Wholesale
TXN000035,2025-07-21,PROD0090,WH02,2,890.04,Retail
TXN000036,2025-07-21,PROD0039,WH05,2,360.51,Retail
TXN000037,2025-07-21,PROD0127,WH01,1,815.22,Online
TXN000038,2025-07-21,PROD0047,WH01,1,539.17,Retail
TXN000039,2025-07-21,PROD0066,WH03,1,512.81,Online
TXN000040,2025-07-21,PROD0076,WH01,1,105.69,Online
TXN000041,2025-07-21,PROD0111,WH02,2,267.82,Online
TXN000042,2025-07-21,PROD0122,WH02,4,792.76,Retail
TXN000043,2025-07-21,PROD0100,WH02,1,433.5,Online
TXN000044,2025-07-21,PROD0042,WH04,5,61.35,Online
TXN000045,2025-07-21,PROD0059,WH02,2,529.33,Online
TXN000046,2025-07-21,PROD0123,WH01,1,458.85,Retail
TXN000047,2025-07-21,PROD0090,WH05,1,890.04,Retail
TXN000048,2025-07-21,PROD0089,WH05,1,310.46,Online
TXN000049,2025-07-21,PROD0115,WH03,1,607.39,Wholesale
TXN000050,2025-07-21,PROD0105,WH02,1,568.46,Retail
TXN000051,2025-07-21,PROD0101,WH05,3,335.07,Wholesale
TXN000052,2025-07-21,PROD0046,WH02,1,328.39,Online
TXN000053,2025-07-21,PROD0008,WH03,5,40.03,Online
TXN000054,2025-07-21,PROD0041,WH02,4,313.32,Online
TXN000055,2025-07-21,PROD0011,WH03,1,515.6,Online
TXN000056,2025-07-21,PROD0026,WH04,1,482.99,Online
TXN000057,2025-07-21,PROD0127,WH01,1,815.22,Online
TXN000058,2025-07-21,PROD0063,WH01,1,560.04,Online
TXN000059,2025-07-21,PROD0061,WH03,14,35.05,Online
TXN000060,2025-07-21,PROD0004,WH05,2,299.93,Retail
TXN000061,2025-07-21,PROD0107,WH04,1,546.29,Online
TXN000062,2025-07-21,PROD0061,WH02,9,35.05,Retail
TXN000063,2025-07-21,PROD0092,WH05,2,84.39,Online
TXN000064,2025-07-21,PROD0029,WH05,1,216.16,Online
TXN000065,2025-07-21,PROD0028,WH02,1,179.6,Retail
TXN000066,2025-07-21,PROD0097,WH04,2,172.41,Online
TXN000067,2025-07-21,PROD0089,WH01,4,310.46,Online
TXN000068,2025-07-21,PROD0007,WH02,5,385.91,Online
TXN000069,2025-07-21,PROD0099,WH05,3,345.24,Online
TXN000070,2025-07-21,PROD0094,WH01,15,54.93,Online
TXN000071,2025-07-21,PROD0036,WH02,1,222.07,Online
TXN000072,2025-07-21,PROD0120,WH03,2,807.25,Retail
TXN000073,2025-07-21,PROD0045,WH05,1,443.22,Wholesale
TXN000074,2025-07-21,PROD0045,WH01,2,443.22,Wholesale
TXN000075,2025-07-21,PROD0102,WH05,3,196.25,Online
TXN000076,2025-07-21,PROD0076,WH02,1,105.69,Online
TXN000077,2025-07-21,PROD0121,WH02,1,583.3,Retail
TXN000078,2025-07-21,PROD0030,WH04,2,307.89,Wholesale
TXN000079,2025-07-21,PROD0066,WH05,1,512.81,Online
TXN000080,2025-07-21,PROD0059,WH04,1,529.33,Online
TXN000081,2025-07-21,PROD0124,WH05,2,391.84,Online
TXN000082,2025-07-21,PROD0098,WH02,1,352.46,Online
TXN000083,2025-07-21,PROD0111,WH05,2,267.82,Retail
TXN000084,2025-07-21,PROD0081,WH02,1,41.47,Online
TXN000085,2025-07-21,PROD0078,WH02,1,368.28,Retail
TXN000086,2025-07-21,PROD0091,WH04,1,922.1,Online
TXN000087,2025-07-21,PROD0103,WH04,3,731.07,Online
TXN000088,2025-07-21,PROD0126,WH05,1,543.44,Retail
TXN000089,2025-07-21,PROD0066,WH05,3,512.81,Retail
TXN000090,2025-07-21,PROD0019,WH02,2,254.68,Online
TXN000091,2025-07-21,PROD0039,WH03,1,360.51,Online
TXN000092,2025-07-21,PROD0049,WH04,1,416.0,Retail
TXN000093,2025-07-21,PROD0123,WH03,1,458.85,Online
TXN000094,2025-07-21,PROD0090,WH04,1,890.04,Online
TXN000095,2025-07-21,PROD0058,WH01,4,407.28,Retail
TXN000096,2025-07-21,PROD0127,WH01,2,815.22,Online
TXN000097,2025-07-21,PROD0075,WH05,1,736.06,Retail
TXN000098,2025-07-21,PROD0045,WH04,1,443.22,Online
TXN000099,2025-07-21,PROD0020,WH04,1,363.62,Retail
TXN000100,2025-07-21,PROD0037,WH05,1,720.85,Online
TXN000101,2025-07-21,PROD0041,WH01,1,313.32,Online
TXN000102,2025-07-21,PROD0115,WH05,1,607.39,Wholesale
TXN000103,2025-07-21,PROD0025,WH02,3,203.66,Online
TXN000104,2025-07-21,PROD0010,WH04,1,198.25,Online
TXN000105,2025-07-21,PROD0015,WH03,1,414.86,Wholesale
TXN000106,2025-07-21,PROD0086,WH05,4,308.34,Online
TXN000107,2025-07-21,PROD0078,WH02,1,368.28,Online
TXN000108,2025-07-21,PROD0043,WH03,1,430.69,Online
TXN000109,2025-07-21,PROD0040,WH02,1,530.8,Online
TXN000110,2025-07-21,PROD0029,WH04,2,216.16,Retail
TXN000111,2025-07-21,PROD0046,WH01,1,328.39,Retail
TXN000112,2025-07-21,PROD0020,WH05,2,363.62,Retail
TXN000113,2025-07-21,PROD0060,WH02,3,379.48,Online
TXN000114,2025-07-21,PROD0126,WH02,4,543.44,Retail
TXN000115,2025-07-21,PROD0055,WH05,1,610.6,Retail
TXN000116,2025-07-21,PROD0092,WH02,11,84.39,Online
TXN000117,2025-07-21,PROD0056,WH01,5,306.56,Retail
TXN000118,2025-07-21,PROD0061,WH01,7,35.05,Retail
TXN000119,2025-07-21,PROD0092,WH05,15,84.39,Retail
TXN000120,2025-07-21,PROD0002,WH05,2,766.66,Online
TXN000121,2025-07-21,PROD0100,WH05,3,433.5,Online
TXN000122,2025-07-21,PROD0128,WH04,5,88.9,Online
TXN000123,2025-07-21,PROD0085,WH01,1,350.45,Retail
TXN000124,2025-07-21,PROD0108,WH01,1,158.82,Retail
TXN000125,2025-07-21,PROD0067,WH05,1,272.24,Retail
TXN000126,2025-07-21,PROD0024,WH05,2,237.44,Retail
TXN000127,2025-07-21,PROD0095,WH03,6,226.49,Online
TXN000128,2025-07-21,PROD0016,WH01,1,113.06,Online
TXN000129,2025-07-21,PROD0120,WH03,1,807.25,Wholesale
TXN000130,2025-07-21,PROD0127,WH04,1,815.22,Online
TXN000131,2025-07-21,PROD0018,WH04,10,22.79,Online
TXN000132,2025-07-21,PROD0028,WH04,2,179.6,Online
TXN000133,2025-07-21,PROD0018,WH05,3,22.79,Retail
TXN000134,2025-07-21,PROD0030,WH04,2,307.89,Retail
TXN000135,2025-07-21,PROD0121,WH03,1,583.3,Online
TXN000136,2025-07-21,PROD0006,WH02,2,342.18,Online
TXN000137,2025-07-21,PROD0082,WH04,2,302.75,Online
TXN000138,2025-07-21,PROD0061,WH03,11,35.05,Retail
TXN000139,2025-07-21,PROD0032,WH01,14,66.91,Retail
TXN000140,2025-07-21,PROD0078,WH01,1,368.28,Retail
TXN000141,2025-07-21,PROD0011,WH03,1,515.6,Online
TXN000142,2025-07-21,PROD0030,WH03,4,307.89,Online
TXN000143,2025-07-21,PROD0094,WH02,6,54.93,Online
TXN000144,2025-07-21,PROD0068,WH03,2,154.66,Online
TXN000145,2025-07-21,PROD0103,WH02,2,731.07,Online
TXN000146,2025-07-21,PROD0040,WH05,1,530.8,Wholesale
TXN000147,2025-07-21,PROD0057,WH05,5,229.78,Wholesale
TXN000148,2025-07-21,PROD0051,WH05,2,771.14,Wholesale
TXN000149,2025-07-21,PROD0052,WH02,1,728.74,Online
TXN000150,2025-07-21,PROD0046,WH05,4,328.39,Retail
TXN000151,2025-07-21,PROD0066,WH01,1,512.81,Online
TXN000152,2025-07-21,PROD0016,WH02,2,113.06,Online
TXN000153,2025-07-21,PROD0005,WH02,1,170.46,Online
TXN000154,2025-07-21,PROD0030,WH05,5,307.89,Retail
TXN000155,2025-07-21,PROD0051,WH04,2,771.14,Online
TXN000156,2025-07-21,PROD0069,WH02,1,279.79,Online
TXN000157,2025-07-21,PROD0074,WH03,2,522.27,Wholesale
TXN000158,2025-07-21,PROD0018,WH03,2,22.79,Retail
TXN000159,2025-07-22,PROD0012,WH04,1,625.07,Online
TXN000160,2025-07-22,PROD0034,WH02,1,126.65,Online
TXN000161,2025-07-22,PROD0003,WH03,10,92.84,Online
TXN000162,2025-07-22,PROD0019,WH02,5,254.68,Online
TXN000163,2025-07-22,PROD0039,WH01,4,360.51,Wholesale
TXN000164,2025-07-22,PROD0092,WH05,3,84.39,Online
TXN000165,2025-07-22,PROD0046,WH05,4,328.39,Online
TXN000166,2025-07-22,PROD0011,WH04,2,515.6,Online
TXN000167,2025-07-22,PROD0092,WH03,8,84.39,Retail
TXN000168,2025-07-22,PROD0083,WH05,1,183.43,Retail
TXN000169,2025-07-22,PROD0102,WH02,4,196.25,Retail
TXN000170,2025-07-22,PROD0007,WH05,2,385.91,Online
TXN000171,2025-07-22,PROD0035,WH05,2,224.81,Online
TXN000172,2025-07-22,PROD0043,WH01,1,430.69,Online
TXN000173,2025-07-22,PROD0117,WH02,2,478.38,Online
TXN000174,2025-07-22,PROD0035,WH01,1,224.81,Retail
TXN000175,2025-07-22,PROD0081,WH04,4,41.47,Retail
TXN000176,2025-07-22,PROD0061,WH02,10,35.05,Online
TXN000177,2025-07-22,PROD0016,WH03,2,113.06,Online
TXN000178,2025-07-22,PROD0070,WH05,3,291.98,Online
TXN000179,2025-07-22,PROD0085,WH02,1,350.45,Online
TXN000180,2025-07-22,PROD0064,WH02,1,563.89,Retail
TXN000181,2025-07-22,PROD0013,WH01,1,231.03,Retail
TXN000182,2025-07-22,PROD0122,WH02,2,792.76,Online
TXN000183,2025-07-22,PROD0091,WH02,2,922.1,Online
TXN000184,2025-07-22,PROD0051,WH02,2,771.14,Online
TXN000185,2025-07-22,PROD0110,WH05,1,84.13,Online
TXN000186,2025-07-22,PROD0099,WH02,1,345.24,Retail
TXN000187,2025-07-22,PROD0120,WH04,1,807.25,Online
TXN000188,2025-07-22,PROD0021,WH02,2,657.4,Online
TXN000189,2025-07-22,PROD0128,WH04,17,88.9,Online
TXN000190,2025-07-22,PROD0105,WH01,1,568.46,Online
TXN000191,2025-07-22,PROD0126,WH01,2,543.44,Online
TXN000192,2025-07-22,PROD0065,WH05,2,431.82,Wholesale
TXN000193,2025-07-22,PROD0024,WH02,3,237.44,Online
TXN000194,2025-07-22,PROD0085,WH04,4,350.45,Retail
TXN000195,2025-07-22,PROD0049,WH05,1,416.0,Online
TXN000196,2025-07-22,PROD0062,WH05,1,576.67,Retail
TXN000197,2025-07-22,PROD0070,WH05,1,291.98,Online
TXN000198,2025-07-22,PROD0116,WH02,2,362.75,Online
TXN000199,2025-07-22,PROD0049,WH05,2,416.0,Online
TXN000200,2025-07-22,PROD0058,WH05,1,407.28,Retail
TXN000201,2025-07-22,PROD0022,WH04,1,88.86,Wholesale
TXN000202,2025-07-22,PROD0096,WH02,2,785.16,Online
TXN000203,2025-07-22,PROD0080,WH02,4,149.97,Wholesale
TXN000204,2025-07-22,PROD0038,WH05,4,226.86,Wholesale
TXN000205,2025-07-22,PROD0023,WH05,1,718.07,Online
TXN000206,2025-07-22,PROD0056,WH03,5,306.56,Wholesale
TXN000207,2025-07-22,PROD0113,WH02,5,290.11,Online
TXN000208,2025-07-22,PROD0118,WH01,7,44.34,Online
TXN000209,2025-07-22,PROD0090,WH01,1,890.04,Retail
TXN000210,2025-07-22,PROD0068,WH03,1,154.66,Online
TXN000211,2025-07-22,PROD0011,WH04,3,515.6,Retail
TXN000212,2025-07-22,PROD0088,WH02,3,308.26,Retail
TXN000213,2025-07-22,PROD0057,WH05,2,229.78,Wholesale
TXN000214,2025-07-22,PROD0091,WH05,1,922.1,Retail
TXN000215,2025-07-22,PROD0105,WH05,1,568.46,Online
TXN000216,2025-07-22,PROD0044,WH02,4,10.47,Online
TXN000217,2025-07-22,PROD0039,WH05,1,360.51,Online
TXN000218,2025-07-22,PROD0073,WH04,2,314.02,Retail
TXN000219,2025-07-22,PROD0030,WH03,2,307.89,Retail
TXN000220,2025-07-22,PROD0017,WH02,1,168.37,Retail
TXN000221,2025-07-22,PROD0055,WH02,1,610.6,Retail
TXN000222,2025-07-22,PROD0093,WH04,2,718.31,Online
TXN000223,2025-07-22,PROD0083,WH01,2,183.43,Retail
TXN000224,2025-07-22,PROD0106,WH05,4,51.83,Online
TXN000225,2025-07-22,PROD0038,WH05,4,226.86,Online
TXN000226,2025-07-22,PROD0070,WH05,2,291.98,Retail
TXN000227,2025-07-22,PROD0075,WH05,1,736.06,Retail
TXN000228,2025-07-22,PROD0018,WH05,4,22.79,Online
TXN000229,2025-07-22,PROD0048,WH02,1,468.79,Retail
TXN000230,2025-07-22,PROD0119,WH04,13,62.53,Online
TXN000231,2025-07-22,PROD0093,WH02,1,718.31,Online
TXN000232,2025-07-22,PROD0015,WH04,1,414.86,Online
TXN000233,2025-07-22,PROD0099,WH04,4,345.24,Wholesale
TXN000234,2025-07-22,PROD0101,WH04,2,335.07,Retail
TXN000235,2025-07-22,PROD0084,WH04,1,563.23,Retail
TXN000236,2025-07-22,PROD0074,WH05,1,522.27,Retail
TXN000237,2025-07-22,PROD0055,WH02,1,610.6,Retail
TXN000238,2025-07-22,PROD0028,WH03,3,179.6,Retail
TXN000239,2025-07-22,PROD0063,WH04,1,560.04,Online
TXN000240,2025-07-22,PROD0034,WH05,5,126.65,Online
TXN000241,2025-07-22,PROD0041,WH03,1,313.32,Online
TXN000242,2025-07-22,PROD0037,WH05,1,720.85,Retail
TXN000243,2025-07-22,PROD0002,WH01,1,766.66,Retail
TXN000244,2025-07-22,PROD0096,WH03,1,785.16,Retail
TXN000245,2025-07-22,PROD0105,WH04,1,568.46,Retail
TXN000246,2025-07-22,PROD0124,WH05,2,391.84,Online
TXN000247,2025-07-22,PROD0048,WH04,2,468.79,Online
TXN000248,2025-07-22,PROD0022,WH04,2,88.86,Online
TXN000249,2025-07-22,PROD0127,WH03,4,815.22,Online
TXN000250,2025-07-22,PROD0118,WH02,4,44.34,Retail
TXN000251,2025-07-22,PROD0081,WH03,13,41.47,Online
TXN000252,2025-07-22,PROD0094,WH01,14,54.93,Online
TXN000253,2025-07-22,PROD0095,WH01,4,226.49,Retail
TXN000254,2025-07-22,PROD0097,WH01,6,172.41,Online
TXN000255,2025-07-22,PROD0020,WH04,3,363.62,Retail
TXN000256,2025-07-22,PROD0061,WH01,2,35.05,Online
TXN000257,2025-07-22,PROD0026,WH05,1,482.99,Wholesale
TXN000258,2025-07-22,PROD0011,WH01,1,515.6,Online
TXN000259,2025-07-22,PROD0075,WH03,2,736.06,Online
TXN000260,2025-07-22,PROD0117,WH03,2,478.38,Retail
TXN000261,2025-07-22,PROD0108,WH05,2,158.82,Online
TXN000262,2025-07-22,PROD0082,WH05,3,302.75,Online
TXN000263,2025-07-22,PROD0040,WH02,1,530.8,Retail
TXN000264,2025-07-22,PROD0119,WH04,13,62.53,Retail
TXN000265,2025-07-22,PROD0096,WH02,1,785.16,Online
TXN000266,2025-07-22,PROD0099,WH04,2,345.24,Online
TXN000267,2025-07-22,PROD0053,WH03,1,566.68,Retail
TXN000268,2025-07-22,PROD0103,WH02,2,731.07,Wholesale
TXN000269,2025-07-22,PROD0057,WH05,2,229.78,Online
TXN000270,2025-07-22,PROD0087,WH02,1,387.06,Online
TXN000271,2025-07-22,PROD0091,WH05,1,922.1,Retail
TXN000272,2025-07-22,PROD0028,WH04,1,179.6,Wholesale
TXN000273,2025-07-22,PROD0032,WH01,16,66.91,Retail
TXN000274,2025-07-22,PROD0005,WH05,1,170.46,Online
TXN000275,2025-07-22,PROD0070,WH04,1,291.98,Retail
TXN000276,2025-07-22,PROD0034,WH01,1,126.65,Online
TXN000277,2025-07-22,PROD0050,WH04,1,506.94,Retail
TXN000278,2025-07-22,PROD0059,WH05,1,529.33,Online
TXN000279,2025-07-22,PROD0084,WH05,1,563.23,Online
TXN000280,2025-07-22,PROD0068,WH05,2,154.66,Online
TXN000281,2025-07-22,PROD0017,WH05,3,168.37,Online
TXN000282,2025-07-22,PROD0097,WH02,4,172.41,Retail
TXN000283,2025-07-22,PROD0074,WH05,1,522.27,Online
TXN000284,2025-07-22,PROD0045,WH02,1,443.22,Online
TXN000285,2025-07-22,PROD0093,WH05,1,718.31,Online
TXN000286,2025-07-22,PROD0091,WH04,1,922.1,Retail
TXN000287,2025-07-22,PROD0009,WH05,1,577.1,Retail
TXN000288,2025-07-22,PROD0052,WH03,1,728.74,Online
TXN000289,2025-07-22,PROD0067,WH01,2,272.24,Retail
TXN000290,2025-07-22,PROD0007,WH03,3,385.91,Online
TXN000291,2025-07-22,PROD0008,WH03,4,40.03,Wholesale
TXN000292,2025-07-22,PROD0067,WH05,1,272.24,Online
TXN000293,2025-07-22,PROD0033,WH02,4,535.58,Online
TXN000294,2025-07-22,PROD0021,WH04,1,657.4,Retail
TXN000295,2025-07-22,PROD0074,WH01,1,522.27,Online
TXN000296,2025-07-22,PROD0015,WH05,1,414.86,Wholesale
TXN000297,2025-07-22,PROD0126,WH04,1,543.44,Online
TXN000298,2025-07-22,PROD0113,WH02,1,290.11,Online
TXN000299,2025-07-22,PROD0049,WH05,1,416.0,Online
TXN000300,2025-07-22,PROD0047,WH04,4,539.17,Online
TXN000301,2025-07-22,PROD0107,WH03,1,546.29,Online
TXN000302,2025-07-22,PROD0049,WH05,1,416.0,Online
TXN000303,2025-07-22,PROD0013,WH04,1,231.03,Retail
TXN000304,2025-07-22,PROD0051,WH01,2,771.14,Online
TXN000305,2025-07-22,PROD0128,WH02,7,88.9,Retail
TXN000306,2025-07-23,PROD0118,WH05,7,44.34,Online
TXN000307,2025-07-23,PROD0074,WH03,2,522.27,Online
TXN000308,2025-07-23,PROD0068,WH05,4,154.66,Online
TXN000309,2025-07-23,PROD0033,WH05,1,535.58,Online
TXN000310,2025-07-23,PROD0044,WH04,14,10.47,Wholesale
TXN000311,2025-07-23,PROD0066,WH02,3,512.81,Wholesale
TXN000312,2025-07-23,PROD0081,WH03,1,41.47,Online
TXN000313,2025-07-23,PROD0116,WH03,1,362.75,Retail
TXN000314,2025-07-23,PROD0119,WH03,16,62.53,Online
TXN000315,2025-07-23,PROD0032,WH02,11,66.91,Retail
TXN000316,2025-07-23,PROD0052,WH05,1,728.74,Online
TXN000317,2025-07-23,PROD0028,WH02,3,179.6,Retail
TXN000318,2025-07-23,PROD0068,WH05,2,154.66,Online
TXN000319,2025-07-23,PROD0010,WH05,2,198.25,Online
TXN000320,2025-07-23,PROD0080,WH01,2,149.97,Retail
TXN000321,2025-07-23,PROD0059,WH04,1,529.33,Retail
TXN000322,2025-07-23,PROD0034,WH01,1,126.65,Retail
TXN000323,2025-07-23,PROD0058,WH04,1,407.28,Online
TXN000324,2025-07-23,PROD0020,WH01,1,363.62,Online
TXN000325,2025-07-23,PROD0128,WH02,6,88.9,Online
